,Location,Life span,Overweight(%),High Blood Glucose(%),High Blood Pressure(%),High Cholesterol(%),NCD death probability(%),Malignant neoplasms death(%),Diabetes mellitus death(%),Cardiovascular death(%),Chronic obstructive pulmonary death(%)
40,Cuba,79.0,58.5 [53.5-63.3],8.4 [5.2-12.7],19 [13.8-25.3],31.9 [17.8-48.5],16.4,0.21623084667565587,0.021067289345633053,0.3093221520253711,0.049077609141439146
41,Cyprus,80.71,59.1 [54.3-63.9],7 [4.4-10.2],19.8 [14.1-26.7],57.1 [40.7-71.9],11.3,0.1648451660372812,0.05050466206740963,0.2414139938078379,0.062383085125565195
42,Czechia,79.17,62.3 [57.8-66.7],7.5 [4.7-11.2],27.9 [21.5-34.7],53.9 [44-63],15.0,0.26109186026231795,0.03595486825902723,0.4457537281751689,0.04407249435627225
43,Democratic Republic of the Congo,60.45,25.3 [20.4-30.6],6.2 [3.5-10.6],28.5 [21.1-36.5],16.1 [6.5-31.3],19.4,0.04920602626275985,0.010134646746321477,0.09674050214794858,0.017362801188438047
44,Denmark,81.25,55.4 [51.3-59.4],4.3 [2.7-6.4],20.6 [15.9-25.7],65.2 [51.4-77.1],11.3,0.28900367794211734,0.026000876150735746,0.2185824497412694,0.08334287574242569
45,Djibouti,63.84,38.6 [32.6-44.4],8.1 [4.9-12.3],26.8 [19.5-35],36.7 [20.4-54.4],19.6,0.05908836023880739,0.019911378222548938,0.1501425547051663,0.017543538650137712
46,Dominican Republic,73.53,61.2 [56.3-65.9],10.1 [6.3-15],21.5 [15.4-28.4],32.1 [18.2-47.8],19.0,0.10078153536855802,0.023591669649687265,0.22021135750871967,0.01634009243164234
47,Ecuador,76.47,56 [50.5-61.4],8 [4.6-12],17.9 [12.6-23.7],39.8 [23-57.9],13.0,0.08473046942365817,0.03945760856936546,0.12035571152370765,0.026438477541483547
48,Egypt,70.54,63.5 [59.1-67.6],17.9 [13.2-23.3],25 [19.8-30.6],39.9 [30.3-49.3],27.7,0.08223971286520892,0.018900533188583476,0.2603617003644295,0.027432295915243366
49,El Salvador,73.68,59.9 [55.1-64.6],10.1 [6.5-14.5],18.7 [13.3-24.7],34.9 [19.6-51.3],14.0,0.10391531837655481,0.0357135159295654,0.1540243704627512,0.019445773431252346
50,Equatorial Guinea,59.54,26.7 [21.1-32.4],9.4 [5.5-15],28.4 [20.8-36.9],40.9 [21.8-61.3],22.0,0.039088827096539526,0.023864757595782028,0.12310923228720658,0.018104298865765676
51,Eritrea,64.97,22 [18-26.2],5.5 [3.3-8.3],29.1 [22.3-36.3],21.4 [10.5-36.2],23.9,0.08040732604030496,0.02561780369239918,0.19596879425734728,0.030208277186412908
52,Estonia,77.76,55.8 [51.3-60.2],7.1 [4.2-11],27.4 [22.3-32.9],56.7 [37.5-73.4],17.0,0.3007200113634033,0.011545703896751023,0.595515253621895,0.026205709502494103
53,Eswatini,57.69,38.4 [33.5-43.5],9.7 [6.2-14],29.8 [23.3-37],31.2 [15.5-50.3],26.7,0.06660718100815624,0.06633787973723378,0.14793616482674055,0.036086370303610255
54,Ethiopia,65.51,20.9 [17.1-25],5.4 [3.2-8.3],30.3 [23.1-38],21.3 [10.8-35.5],18.3,0.049142180684485046,0.012574869482400785,0.10569144982521386,0.014922281409112387
55,Fiji,69.95,63.8 [58.2-69.2],17.4 [11.5-24.3],21.7 [15.6-28.7],53.2 [38-67.8],30.6,0.0702654498020417,0.16506076299337694,0.25022753167676515,0.03851417803178795
56,Finland,81.45,57.9 [54.2-61.7],5.3 [3.6-7.6],19.4 [15.2-24.1],59 [50.4-67.1],10.2,0.22507536768918865,0.00927658295793488,0.34668955132988005,0.031685897083769725
57,France,82.95,59.5 [55-63.7],5.9 [3.8-8.6],22 [16.6-27.8],62 [53.1-70.1],10.6,0.2681343158141505,0.019136324702992643,0.22175095747344228,0.048048798478495955
58,Gabon,66.45,40.2 [33.6-46.8],10 [5.7-16.2],25.5 [18.4-33.7],42.5 [23.8-62.3],14.4,0.03770141870886835,0.01962266706908075,0.1254057758374247,0.015488958016457142
59,Gambia,61.92,31.9 [27.4-36.8],8.7 [5.5-13],29.1 [22.5-36.4],20.3 [10.5-34.1],20.4,0.027313327135488064,0.009399134721241206,0.10511210562021726,0.016378690207311412
